Mean latency: 30.562466, p99: 108.592420, thruput: 51.060234
Mean latency: 30.943694, p99: 108.668660, thruput: 49.489541
Mean latency: 31.936786, p99: 114.239460, thruput: 49.614862
Mean latency: 31.936369, p99: 111.928900, thruput: 49.622197
Mean latency: 31.387389, p99: 103.004500, thruput: 51.536838
Mean latency: 33.899934, p99: 118.399600, thruput: 49.380407
Mean latency: 31.379958, p99: 106.183810, thruput: 50.091556
Mean latency: 32.037702, p99: 118.455560, thruput: 50.187788
Mean latency: 33.696434, p99: 103.763600, thruput: 50.084812
Mean latency: 32.825482, p99: 117.152660, thruput: 50.410146
Mean latency: 32.112217, p99: 126.145520, thruput: 50.201803
Mean latency: 32.983522, p99: 115.802930, thruput: 50.652997
Mean latency: 32.412657, p99: 114.228570, thruput: 50.207369
Mean latency: 34.099759, p99: 124.658120, thruput: 50.091126
Mean latency: 31.454118, p99: 105.618350, thruput: 50.090990
Mean latency: 33.290563, p99: 117.203500, thruput: 50.439867
Mean latency: 32.984347, p99: 112.847820, thruput: 50.717273
Mean latency: 34.711529, p99: 119.197600, thruput: 49.922296
Mean latency: 33.642208, p99: 115.398120, thruput: 50.778140
Mean latency: 31.980470, p99: 119.012400, thruput: 50.485803
Mean latency: 31.862434, p99: 123.110300, thruput: 50.330766
Mean latency: 32.922167, p99: 116.656240, thruput: 50.731952
Mean latency: 31.721695, p99: 104.548320, thruput: 51.509174
Mean latency: 32.373899, p99: 121.649030, thruput: 50.598181
Mean latency: 32.465052, p99: 113.285600, thruput: 50.220524
Mean latency: 31.843357, p99: 113.927400, thruput: 50.896527
Mean latency: 32.388912, p99: 113.798370, thruput: 50.268884
Mean latency: 33.267036, p99: 130.204400, thruput: 50.021536
Mean latency: 32.366779, p99: 107.773450, thruput: 50.964914
Mean latency: 31.186535, p99: 114.405380, thruput: 51.215180
Mean latency: 31.855116, p99: 111.536340, thruput: 50.848433
Mean latency: 31.516856, p99: 111.519840, thruput: 51.103559
Mean latency: 31.900098, p99: 117.757000, thruput: 51.063368
Mean latency: 32.203706, p99: 110.147680, thruput: 50.919035
Mean latency: 31.208379, p99: 108.479900, thruput: 51.162445
Mean latency: 31.047467, p99: 105.958200, thruput: 50.719873
Mean latency: 32.685848, p99: 111.876840, thruput: 50.981660
Mean latency: 32.640528, p99: 113.734970, thruput: 51.070500
Mean latency: 32.767414, p99: 116.659860, thruput: 50.838927
Mean latency: 31.785941, p99: 112.784390, thruput: 51.206412
Mean latency: 31.133907, p99: 111.541360, thruput: 51.458933
Mean latency: 32.713947, p99: 119.902740, thruput: 51.042028
Mean latency: 30.594831, p99: 109.626240, thruput: 50.852443
Mean latency: 32.082797, p99: 115.880120, thruput: 50.624635
Mean latency: 33.876506, p99: 113.764380, thruput: 50.580258
Mean latency: 32.924529, p99: 117.449600, thruput: 50.994666
Mean latency: 31.123393, p99: 104.763700, thruput: 51.174713
Mean latency: 32.199219, p99: 106.421320, thruput: 50.905332
Mean latency: 31.885212, p99: 119.934520, thruput: 50.480579
Mean latency: 32.456086, p99: 114.273800, thruput: 51.001411
Mean latency: 32.318062, p99: 107.793660, thruput: 50.871334
Mean latency: 32.566539, p99: 115.634120, thruput: 51.072983
Mean latency: 31.732622, p99: 114.008920, thruput: 51.118589
Mean latency: 31.982786, p99: 113.682060, thruput: 51.041194
Mean latency: 32.278237, p99: 114.209130, thruput: 51.144916
Mean latency: 32.993841, p99: 112.221700, thruput: 51.146803
Mean latency: 30.207894, p99: 120.672220, thruput: 50.348978
Mean latency: 32.837138, p99: 116.149970, thruput: 51.275686
Mean latency: 31.590061, p99: 106.337950, thruput: 50.981752
Mean latency: 33.393815, p99: 108.092280, thruput: 50.821282
Mean latency: 31.941932, p99: 113.013740, thruput: 51.113002
Mean latency: 33.760365, p99: 111.612430, thruput: 50.955704
Mean latency: 32.842311, p99: 118.845350, thruput: 50.732355
Mean latency: 31.979193, p99: 130.957150, thruput: 51.367162
Mean latency: 30.510414, p99: 120.063240, thruput: 51.364566
Mean latency: 31.827930, p99: 121.827100, thruput: 50.939270
Mean latency: 32.386075, p99: 120.081240, thruput: 50.676152
Mean latency: 32.609632, p99: 109.141800, thruput: 50.817341
Mean latency: 32.302797, p99: 108.048950, thruput: 50.593669
Mean latency: 31.599756, p99: 112.405500, thruput: 51.301026
Mean latency: 32.058303, p99: 113.711010, thruput: 51.077915
Mean latency: 32.025672, p99: 114.553360, thruput: 51.245330
Mean latency: 31.447498, p99: 122.642650, thruput: 50.999968
Mean latency: 32.384695, p99: 105.278620, thruput: 51.154035
Mean latency: 31.631766, p99: 110.612810, thruput: 51.155366
Mean latency: 32.032855, p99: 116.725390, thruput: 51.003513
Mean latency: 32.368257, p99: 122.117800, thruput: 51.017552
Mean latency: 32.160648, p99: 113.533370, thruput: 50.994410
Mean latency: 31.508574, p99: 119.609640, thruput: 51.152021
Mean latency: 32.158972, p99: 118.804080, thruput: 51.199269
